Depth;qc;fs
18,37;17,078;0,152
18,42;17,527;0,158
18,47;16,527;0,139
18,52;16,276;0,141
18,57;19,076;0,193
18,62;21,65;0,235
18,67;22,325;0,224
18,72;21,499;0,226
18,77;21,049;0,231
18,82;21,649;0,243
18,87;19,973;0,199
18,92;17,048;0,15
18,97;14,522;0,132
19,02;13,897;0,112
19,07;14,571;0,106
19,12;15,871;0,121
19,17;15,795;0,107
19,22;16,095;0,114
19,27;15,994;0,113
19,32;14,944;0,104
19,37;16,018;0,119
19,42;19,843;0,184
19,47;22,842;0,246
19,52;20,842;0,208
19,57;19,141;0,187
19,62;19,816;0,204
19,67;20,516;0,189
19,72;20,04;0,183
19,77;17,14;0,137
19,82;14,389;0,128
19,87;12,789;0,112
19,92;12,113;0,096
19,97;12,613;0,089
20,02;12,637;0,085
20,07;12,512;0,086
20,12;13,286;0,087
20,17;12,786;0,085
20,22;12,885;0,092
20,27;14,91;0,109
20,32;13,534;0,105
20,37;11,309;0,113
20,42;10,234;0,094
20,47;9,983;0,085
20,52;10,358;0,079
20,57;11,932;0,078
20,62;13,457;0,083
20,67;14,156;0,077
20,72;13,306;0,088
20,77;13,58;0,089
20,82;13,38;0,09
20,87;13,879;0,091
20,92;13,054;0,09
20,97;13,178;0,096
21,02;15,078;0,112
21,07;16,727;0,132
21,12;17,177;0,143
21,17;18,051;0,168
21,22;20,076;0,211
21,27;22,426;0,261
21,32;23,275;0,279
21,37;23,05;0,274
21,42;23,599;0,295
21,47;23,949;0,308
21,52;24,673;0,331
21,57;24,773;0,337
21,62;22,572;0,289
21,67;21,397;0,232
21,72;22,371;0,261
21,77;22,471;0,264
21,82;21,87;0,254
21,87;22,345;0,262
21,92;22,094;0,266
21,97;24,594;0,321
22,02;24,919;0,319
22,07;23,293;0,288
22,12;22,568;0,277
22,17;22,192;0,269
22,22;22,642;0,28
22,27;25,966;0,356
22,32;26,441;0,362
22,37;27,09;0,393
22,42;27,64;0,405
22,47;25,714;0,367
22,52;23,514;0,314
22,57;22,663;0,298
22,62;20,888;0,251
22,67;21,112;0,233
22,72;21,337;0,214
22,77;22,937;0,249
22,82;24,961;0,294
22,87;25,061;0,295
22,92;23,46;0,269
22,97;20,585;0,216
23,02;17,609;0,192
23,07;16,684;0,176
23,12;17,083;0,155
23,17;18,808;0,165
23,22;18,357;0,148
23,27;18,857;0,159
23,32;18,881;0,155
23,37;18,831;0,155
23,42;19,455;0,172
23,47;20,18;0,18
23,52;18,254;0,158
23,57;16,554;0,16
23,62;16,029;0,156
23,67;14,928;0,152
23,72;15,503;0,148
23,77;17,902;0,162
23,82;19,852;0,194
23,87;21,926;0,231
23,92;24,001;0,269
23,97;24,325;0,287
24,02;24,1;0,29
24,07;24,224;0,297
24,12;22,499;0,26
24,17;21,598;0,251
24,22;23,398;0,288
24,27;22,697;0,258
24,32;20,397;0,211
24,37;18,947;0,193
24,42;19,496;0,192
24,47;21,746;0,232
24,52;24,795;0,288
24,57;25,02;0,293
24,62;23,319;0,267
24,67;24,594;0,309
24,72;25,956;0,316
24,77;27,318;0,324
24,82;27,092;0,328
24,87;24,092;0,272
24,92;21,191;0,219
24,97;19,116;0,19
25,02;18,79;0,172
25,07;19,315;0,168
25,12;20,89;0,192
25,17;23,689;0,254
25,22;27,164;0,33
25,27;27,638;0,338
25,32;25,338;0,296
25,37;24,037;0,278
25,42;24,387;0,284
25,47;21,636;0,214
25,52;20,486;0,196
25,57;20,91;0,195
25,62;18,135;0,153
25,67;16,459;0,146
25,72;15,434;0,136
25,77;14,583;0,115
25,82;15,508;0,111
25,87;16,582;0,116
25,92;16,307;0,109
25,97;15,682;0,11
26,02;15,406;0,11
26,07;16,281;0,112
26,12;17,93;0,127
26,17;20,08;0,159
26,22;20,854;0,181
26,27;17,979;0,116
26,32;15,253;0,12
26,37;13,853;0,119
26,42;12,877;0,108
26,47;12,552;0,1
26,52;12,201;0,093
26,57;12,601;0,091
26,62;13,3;0,088
26,67;13,775;0,088
